Geo Point;Geo Shape;GR_ID;GR_NOM;ZDL_ID;ZDL_NOM;LDA_ID;LDA_NOM;GARE_NOM;INSEE_TXT;COMM_NOM;DPT_ID;ACCES_PMR
48.5333613033,2.29118318061;"{""type"": ""Polygon"", ""coordinates"": [[[2.291619914906024, 48.533402995138005], [2.291477906736037, 48.533330682590744], [2.291592683784881, 48.533236404331745], [2.291132854757362, 48.53301241129033], [2.290997229630027, 48.53312222870845], [2.290830329329641, 48.53314668758514], [2.290695525499369, 48.533195811454924], [2.290744863293022, 48.53327260993797], [2.291109407427605, 48.5336564483086], [2.291114297591745, 48.53373088100249], [2.291203402198219, 48.533791130649234], [2.291619914906024, 48.533402995138005]]]}";91;Bouray;47905;Bouray;59830;Bouray;BOURAY;91330;Lardy;91;Non
48.6251603342,2.42837092725;"{""type"": ""Polygon"", ""coordinates"": [[[2.427892282753382, 48.6249192852078], [2.427910523918757, 48.624990254453394], [2.427872627839992, 48.62504148025207], [2.427899244675934, 48.62523391111556], [2.427947671861469, 48.62549444531828], [2.428617715713995, 48.625456320235514], [2.428889009786036, 48.62533576551972], [2.428787899540681, 48.6248630888762], [2.42869087695605, 48.62480550373689], [2.427892282753382, 48.6249192852078]]]}";263;Evry-Courcouronne (interurbaine);47906;Évry Courcouronnes;60450;Évry Courcouronnes;EVRY-COURCOURONNES;91228;Évry;91;Oui
48.7633439435,2.35790115632;"{""type"": ""Polygon"", ""coordinates"": [[[2.357681829829692, 48.76391228296607], [2.358691093328689, 48.76291271599407], [2.358488302486939, 48.76298443632024], [2.358227483590434, 48.762870353356135], [2.358216845618158, 48.762669203573914], [2.357194956661689, 48.763713929096724], [2.357681829829692, 48.76391228296607]]]}";533;MIN de Rungis;47423;Marché International de Rungis;69840;Marché International de Rungis;MIN RUNGIS;94021;Chevilly-Larue;94;Partielle
48.6898282324,2.38636745751;"{""type"": ""Polygon"", ""coordinates"": [[[2.386643505704767, 48.689543323865905], [2.38616709857839, 48.68968052865386], [2.386060676607932, 48.689768744176966], [2.385997979465362, 48.68986326429681], [2.385960491354283, 48.689998201840126], [2.386192789484072, 48.69029492682978], [2.386380839757638, 48.69023257389331], [2.386253906737413, 48.68996584047478], [2.386339673010276, 48.68982160149122], [2.386743982922757, 48.68969480647763], [2.386773654709734, 48.68966198593762], [2.386785691650141, 48.689616354281185], [2.387080196507072, 48.689515057694], [2.387029353317014, 48.68943673596758], [2.386643505704767, 48.689543323865905]]]}";365;Juvisy (Seine);45741;Gare Routière Seine;62737;Juvisy (Gare);JUVISY;91326;Juvisy-sur-Orge;91;Partielle
48.8828029661,2.48164003734;"{""type"": ""Polygon"", ""coordinates"": [[[2.481189785260499, 48.88319481714186], [2.48182724871736, 48.88309121623596], [2.48175017140944, 48.882896718795436], [2.481718107641128, 48.88287712683211], [2.481874984947488, 48.88270879322769], [2.481925160964281, 48.882646457323865], [2.481830164032716, 48.88236311590247], [2.481703953168956, 48.882339529932466], [2.481578314006042, 48.88242687014727], [2.481630127850939, 48.88256069645865], [2.481497785864731, 48.88285238229578], [2.481189785260499, 48.88319481714186]]]}";718;Rosny-Bois-Perrier;42356;Rosny Bois-Perrier;426280;Rosny Bois-Perrier (Gare);ROSNY-BOIS-PERRIER;93064;Rosny-sous-Bois;93;Oui
48.9536464103,2.60338505771;"{""type"": ""Polygon"", ""coordinates"": [[[2.602994944694805, 48.95365357529532], [2.603703442202152, 48.95380296490464], [2.603771369160668, 48.95363989778968], [2.603075974004079, 48.953489399087275], [2.602994944694805, 48.95365357529532]]]}";865;Villeparisis - Mitry-le-Neuf;46725;Villeparisis Mitry-le-Neuf;68916;Villeparisis Mitry-le-Neuf;VILLEPARISIS-MITRY-LE-NEUF;77294;Mitry-Mory;77;
48.769885832,2.69007670649;"{""type"": ""Polygon"", ""coordinates"": [[[2.690122380683045, 48.770339420662644], [2.690480012363305, 48.769525314339226], [2.690005202629767, 48.7694598319713], [2.689711391021127, 48.77013489229843], [2.689816713123242, 48.77028270466791], [2.690122380683045, 48.770339420662644]]]}";591;Ozoir-la-Ferrière;46572;Ozoir-la-Ferrière (Gare);67747;Ozoir-la-Ferrière (Gare);OZOIR-LA-FERRIERE;77350;Ozoir-la-Ferrière;77;oui
49.1477233122,2.27944460864;"{""type"": ""Polygon"", ""coordinates"": [[[2.27958939054514, 49.147935557782844], [2.279680814566499, 49.147915616904804], [2.27968298903311, 49.1479170460162], [2.279772366221728, 49.14778575149286], [2.279761603356565, 49.147684387018124], [2.279787811098425, 49.14760302777952], [2.279683412619, 49.147551582639935], [2.279535467647181, 49.14751867356895], [2.27935918633982, 49.14752572377288], [2.279191563873324, 49.147571322792636], [2.279008537321435, 49.147762528374116], [2.279171673133398, 49.14783256251393], [2.27948926312075, 49.147952639471676], [2.27958939054514, 49.147935557782844]]]}";615;Persan Beaumont;43178;Persant Beaumont;67292;Persant Beaumont;PERSAN-BEAUMONT;95487;Persan;95;non
48.9194716925,2.18572115258;"{""type"": ""Polygon"", ""coordinates"": [[[2.18643269848934, 48.91927485255667], [2.186310545212076, 48.919182597520546], [2.186035704443106, 48.919172219499764], [2.185496148763884, 48.91941220744953], [2.185107382938126, 48.91961419725831], [2.185168008666412, 48.919727383053974], [2.185193830273495, 48.91981180308557], [2.185238014612467, 48.91984922286987], [2.18643269848934, 48.91927485255667]]]}";338;Houilles - Carrières-sur-Seine;47439;Houilles Carrières-sur-Seine (Gare);64741;Houilles Carrières-sur-Seine (Gare);HOUILLES-CARRIERES-SUR-SEINE;78311;Houilles;78;Oui
48.8212320043,2.46403789625;"{""type"": ""Polygon"", ""coordinates"": [[[2.464055548795828, 48.81994909228481], [2.463925276748177, 48.82044447631152], [2.463966806635419, 48.82083404677389], [2.464112037390856, 48.821265140806794], [2.464477533777418, 48.82217655718603], [2.464327997486821, 48.82226184553271], [2.464145178311445, 48.82224085088456], [2.464118963556906, 48.82219380432015], [2.463775602442335, 48.82152122205499], [2.463634708089915, 48.82113509677734], [2.463572328324546, 48.820862443557516], [2.463480366866992, 48.8201225710693], [2.463282188254098, 48.82007262280799], [2.463411591731044, 48.82081858677155], [2.463807508825497, 48.82190105384223], [2.46404239979016, 48.82233816520288], [2.464233838055482, 48.82240343949009], [2.464580725728919, 48.822311834720765], [2.464644261153039, 48.82222522392852], [2.464672045353884, 48.82201001501376], [2.464558172804635, 48.82180431942379], [2.46407632610738, 48.82036643866468], [2.464262544336756, 48.82000427443854], [2.464055548795828, 48.81994909228481]]]}";358;Joinville-le-Pont;43135;Joinville-le-Pont (Gare);70640;Joinville-le-Pont (Gare);JOINVILLE-LE-PONT;75112;Paris 12e;75;Oui
48.7321838147,2.44739028603;"{""type"": ""Polygon"", ""coordinates"": [[[2.446950734494731, 48.73239329641614], [2.447863240252538, 48.73222966076674], [2.447782850127843, 48.73198704769662], [2.446986793683508, 48.732109168921525], [2.446950734494731, 48.73239329641614]]]}";861;Villeneuve Saint-Georges (Henri Dunant);45067;Villeneuve-Saint-Georges (Gare);69568;Villeneuve-Saint-Georges (Gare);VILLENEUVE-SAINT-GEORGES;94078;Villeneuve-Saint-Georges;94;
48.6278495045,2.56890542889;"{""type"": ""Polygon"", ""coordinates"": [[[2.568834631130688, 48.62859760603987], [2.569354846464492, 48.627160085958096], [2.568967753030986, 48.62710476095875], [2.568458722075718, 48.62855435723632], [2.568834631130688, 48.62859760603987]]]}";452;Lieusaint-Moissy-Cramayel;47669;Lieusaint Moissy;62412;Lieusaint Moissy;LIEUSAINT-MOISSY;77251;Lieusaint;77;oui
48.8771869053,2.40912458647;"{""type"": ""Polygon"", ""coordinates"": [[[2.408506197804194, 48.87748046651062], [2.408869344881027, 48.87758397527137], [2.40919238705824, 48.877121100627775], [2.409797584904908, 48.87729255276035], [2.409917449902245, 48.87711841117523], [2.409026513296502, 48.87684850899866], [2.408737381305706, 48.87716168475661], [2.408506197804194, 48.87748046651062]]]}";675;Porte des Lilas - Place Marquis du Vercors;44529;Porte des Lilas;71889;Porte des Lilas;PORTE DES LILAS;75120;Paris 20e;75;Oui
49.0070010937,2.19801671441;"{""type"": ""Polygon"", ""coordinates"": [[[2.197506049123043, 49.00731133447988], [2.19868857164831, 49.00689668036354], [2.198464021579846, 49.00667628471186], [2.198162428737547, 49.006821789159794], [2.197335425102486, 49.007118901365224], [2.197506049123043, 49.00731133447988]]]}";901;Montigny-Beauchamp (sud);43166;Montigny Beauchamp;66335;Montigny Beauchamp;MONTIGNY-BEAUCHAMP;95424;Montigny-lès-Cormeilles;95;
48.8438679032,2.46499325271;"{""type"": ""Polygon"", ""coordinates"": [[[2.464823229595736, 48.84396115903501], [2.465207244931182, 48.84389121418051], [2.465167312716344, 48.84377485613046], [2.464776718284977, 48.84384477142637], [2.464823229595736, 48.84396115903501]]]}";276;Fontenay-sous-Bois;47238;Fontenay-sous-Bois (Gare);71630;Fontenay-sous-Bois (Gare);FONTENAY-SOUS-BOIS;94033;Fontenay-sous-Bois;94;
48.8890014091,2.39601395744;"{""type"": ""Polygon"", ""coordinates"": [[[2.395738503601563, 48.88928188363673], [2.3961043953375, 48.88936715464065], [2.396280836523706, 48.88869786237963], [2.395931461228958, 48.88864326439661], [2.395738503601563, 48.88928188363673]]]}";667;Porte de Pantin;44521;Porte de Pantin;71989;Porte de Pantin;PORTE DE PANTIN;75119;Paris 19e;75;Oui
48.8441649183,2.44127287602;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[2.442295948431831, 48.84410454632915], [2.441895952152958, 48.843822616852584], [2.440424362594413, 48.84392567417763], [2.439994300365177, 48.84430592215906], [2.439991310413857, 48.84438065072812], [2.441126515076868, 48.844276637496634], [2.442302374020924, 48.844168887247186], [2.442295948431831, 48.84410454632915]]], [[[2.442380301930105, 48.84451938040735], [2.442338982866147, 48.84433353883122], [2.441277659225372, 48.844441287495776], [2.441428782778911, 48.84460591379587], [2.442380301930105, 48.84451938040735]]]]}";149;Château de Vincennes;42582;Château de Vincennes;71634;Château de Vincennes;CHATEAU DE VINCENNES;75112;Paris 12e;75;Partielle
